event;winner;height;weight;reach;bday;loser;l_height;l_weight;l_reach;l_bday
UFC Fight Night: Brunson vs. Shahbazyan;Jonathan Martinez;"5' 6""";135 lbs.;"66""";Aug 12, 1980;Frankie Saenz;"5' 8""";135 lbs.;"70""";Apr 20, 1994
UFC Fight Night: Brunson vs. Shahbazyan;Nate Maness;"5' 9""";135 lbs.;"71""";Feb 16, 1993;Johnny Munoz;"5' 10""";135 lbs.;"72""";Jun 27, 1991
UFC Fight Night: Brunson vs. Shahbazyan;Jamall Emmers;"5' 6""";145 lbs.;"68""";Nov 07, 1989;Vince Cachero;"5' 10""";145 lbs.;"74""";Jul 24, 1989
UFC Fight Night: Brunson vs. Shahbazyan;Chris Gutierrez;"5' 7""";125 lbs.;"67""";Mar 29, 1991;Cody Durden;"5' 9""";135 lbs.;"67""";Apr 22, 1991
UFC Fight Night: Lewis vs. Oleinik;Derrick Lewis;"6' 2""";240 lbs.;"80""";Jun 20, 1977;Aleksei Oleinik;"6' 3""";260 lbs.;"79""";Feb 07, 1985
UFC Fight Night: Lewis vs. Oleinik;Chris Weidman;"6' 0""";185 lbs.;"73""";Oct 12, 1987;Omari Akhmedov;"6' 2""";185 lbs.;"78""";Jun 17, 1984
UFC Fight Night: Lewis vs. Oleinik;Darren Stewart;"5' 10""";185 lbs.;"75""";Nov 24, 1990;Maki Pitolo;"6' 0""";205 lbs.;"74""";Dec 30, 1990
UFC Fight Night: Lewis vs. Oleinik;Yana Kunitskaya;"5' 7""";135 lbs.;"66""";Apr 08, 1993;Julija Stoliarenko;"5' 6""";135 lbs.;"68""";Nov 11, 1989
UFC Fight Night: Lewis vs. Oleinik;Beneil Dariush;"5' 9""";155 lbs.;"69""";Sep 30, 1983;Scott Holtzman;"5' 10""";155 lbs.;"72""";May 06, 1989
UFC Fight Night: Lewis vs. Oleinik;Tim Means;"6' 1""";185 lbs.;"71""";Feb 27, 1993;Laureano Staropoli;"6' 2""";170 lbs.;"75""";Feb 20, 1984
UFC Fight Night: Lewis vs. Oleinik;Kevin Holland;"5' 10""";185 lbs.;"76""";Apr 27, 1994;Joaquin Buckley;"6' 3""";185 lbs.;"81""";Nov 05, 1992
UFC Fight Night: Lewis vs. Oleinik;Nasrat Haqparast;"5' 9""";155 lbs.;"72""";Feb 27, 1990;Alexander Munoz;"5' 10""";155 lbs.;"72""";Aug 22, 1995
UFC Fight Night: Lewis vs. Oleinik;Andrew Sanchez;"6' 0""";185 lbs.;"72""";Jul 22, 1996;Wellington Turman;"6' 1""";185 lbs.;"74""";Apr 08, 1988
UFC Fight Night: Lewis vs. Oleinik;Gavin Tucker;"5' 7""";145 lbs.;"68""";Aug 10, 1989;Justin Jaynes;"5' 6""";145 lbs.;"66""";Jun 17, 1986
UFC Fight Night: Lewis vs. Oleinik;Youssef Zalal;"5' 10""";145 lbs.;"73""";Aug 10, 1986;Peter Barrett;"5' 10""";145 lbs.;"72""";Sep 04, 1996
UFC Fight Night: Lewis vs. Oleinik;Irwin Rivera;"5' 6""";135 lbs.;"68""";Sep 23, 1990;Ali AlQaisi;"5' 6""";135 lbs.;"67""";Feb 14, 1989
UFC 252: Miocic vs. Cormier 3;Stipe Miocic;"5' 11""";235 lbs.;"72""";Mar 20, 1979;Daniel Cormier;"6' 4""";240 lbs.;"80""";Aug 19, 1982
UFC 252: Miocic vs. Cormier 3;Marlon Vera;"5' 11""";135 lbs.;"72""";Oct 24, 1994;Sean O'Malley;"5' 8""";135 lbs.;"70""";Dec 02, 1992
UFC 252: Miocic vs. Cormier 3;Jairzinho Rozenstruik;"6' 4""";238 lbs.;"77""";Jan 30, 1984;Junior Dos Santos;"6' 2""";242 lbs.;"78""";Mar 17, 1988
UFC 252: Miocic vs. Cormier 3;Daniel Pineda;"5' 9""";145 lbs.;"73""";Feb 02, 1988;Herbert Burns;"5' 7""";145 lbs.;"69""";Aug 06, 1985
UFC 252: Miocic vs. Cormier 3;Merab Dvalishvili;"5' 3""";135 lbs.;"66""";Sep 26, 1984;John Dodson;"5' 6""";135 lbs.;"68""";Jan 10, 1991
UFC 252: Miocic vs. Cormier 3;Vinc Pichel;"5' 8""";155 lbs.;"71""";Aug 30, 1983;Jim Miller;"5' 10""";155 lbs.;"72""";Nov 23, 1982
UFC 252: Miocic vs. Cormier 3;Virna Jandiroba;"5' 4""";115 lbs.;"65""";Sep 18, 1984;Felice Herrig;"5' 3""";115 lbs.;"64""";May 30, 1988
UFC 252: Miocic vs. Cormier 3;Danny Chavez;"5' 9""";145 lbs.;"72""";May 22, 1990;TJ Brown;"5' 8""";145 lbs.;"67""";Mar 14, 1987
UFC 252: Miocic vs. Cormier 3;Livinha Souza;"5' 7""";115 lbs.;"69""";Oct 20, 1987;Ashley Yoder;"5' 3""";115 lbs.;"63""";Mar 11, 1991
UFC 252: Miocic vs. Cormier 3;Chris Daukaus;"6' 0""";265 lbs.;"75""";Apr 22, 1985;Parker Porter;"6' 3""";250 lbs.;"76""";Sep 25, 1989
UFC 252: Miocic vs. Cormier 3;Kai Kamaka;"5' 9""";135 lbs.;"70""";Jan 21, 1987;Tony Kelley;"5' 7""";145 lbs.;"69""";Jan 05, 1995
UFC Fight Night: Overeem vs. Sakai;Alistair Overeem;"6' 3""";265 lbs.;"77""";May 09, 1991;Augusto Sakai;"6' 4""";265 lbs.;"80""";May 17, 1980
UFC Fight Night: Overeem vs. Sakai;Ovince Saint Preux;"6' 0""";205 lbs.;"76""";Oct 18, 1987;Alonzo Menifield;"6' 3""";205 lbs.;"80""";Apr 08, 1983
UFC Fight Night: Overeem vs. Sakai;Michel Pereira;"6' 0""";170 lbs.;"76""";Jan 25, 1995;Zelim Imadaev;"6' 1""";170 lbs.;"73""";Oct 06, 1993
UFC Fight Night: Overeem vs. Sakai;Andre Muniz;"6' 0""";170 lbs.;"75""";Apr 26, 1986;Bartosz Fabinski;"6' 1""";185 lbs.;"78""";Feb 17, 1990
UFC Fight Night: Overeem vs. Sakai;Brian Kelleher;"5' 7""";135 lbs.;"70""";Dec 10, 1987;Ray Rodriguez;"5' 6""";145 lbs.;"66""";Aug 19, 1986
UFC Fight Night: Overeem vs. Sakai;Viviane Araujo;"5' 7""";125 lbs.;"68""";Feb 14, 1995;Montana De La Rosa;"5' 4""";125 lbs.;"68""";Nov 21, 1986
UFC Fight Night: Smith vs. Rakic;Aleksandar Rakic;"6' 4""";205 lbs.;"76""";Jul 26, 1988;Anthony Smith;"6' 4""";205 lbs.;"78""";Feb 06, 1992
UFC Fight Night: Smith vs. Rakic;Neil Magny;"5' 11""";170 lbs.;"74""";Mar 20, 1982;Robbie Lawler;"6' 3""";170 lbs.;"80""";Aug 03, 1987
UFC Fight Night: Smith vs. Rakic;Alexa Grasso;"5' 7""";125 lbs.;"72""";Oct 18, 1989;Ji Yeon Kim;"5' 5""";125 lbs.;"66""";Aug 09, 1993
UFC Fight Night: Overeem vs. Sakai;Hunter Azure;"5' 11""";135 lbs.;"67""";Apr 05, 1989;Cole Smith;"5' 8""";145 lbs.;"69""";Mar 02, 1992
UFC Fight Night: Smith vs. Rakic;Ricardo Lamas;"6' 0""";145 lbs.;"73""";Jun 09, 1989;Bill Algeo;"5' 8""";145 lbs.;"71""";May 21, 1982
UFC Fight Night: Smith vs. Rakic;Impa Kasanganay;"5' 10""";185 lbs.;"75""";Nov 24, 1990;Maki Pitolo;"5' 11""";170 lbs.;"75""";Jan 17, 1994
UFC Fight Night: Smith vs. Rakic;Zak Cummings;"6' 0""";185 lbs.;"74""";Dec 12, 1989;Alessio Di Chirico;"6' 0""";185 lbs.;"75""";Aug 02, 1984
UFC Fight Night: Smith vs. Rakic;Alex Caceres;"5' 8""";145 lbs.;"71""";May 12, 1987;Austin Springer;"5' 10""";145 lbs.;"73""";Jun 20, 1988
UFC Fight Night: Munhoz vs. Edgar;Frankie Edgar;"5' 6""";135 lbs.;"65""";Sep 07, 1986;Pedro Munhoz;"5' 6""";135 lbs.;"68""";Oct 16, 1981
UFC Fight Night: Munhoz vs. Edgar;Mike Rodriguez;"6' 3""";205 lbs.;"74""";Jul 14, 1988;Marcin Prachnio;"6' 4""";205 lbs.;"82""";Nov 28, 1988
UFC Fight Night: Munhoz vs. Edgar;Joe Solecki;"5' 10""";155 lbs.;"71""";Dec 22, 1991;Austin Hubbard;"5' 9""";155 lbs.;"70""";Aug 27, 1993
UFC Fight Night: Smith vs. Rakic;Sean Brady;"5' 9""";170 lbs.;"72""";Nov 25, 1991;Christian Aguilera;"5' 10""";170 lbs.;"72""";Nov 23, 1992
UFC Fight Night: Smith vs. Rakic;Polyana Viana;"5' 5""";125 lbs.;"63""";May 24, 1991;Emily Whitmire;"5' 5""";115 lbs.;"67""";Jun 14, 1992
UFC Fight Night: Smith vs. Rakic;Mallory Martin;"5' 1""";115 lbs.;"62""";Jun 26, 1992;Hannah Cifers;"5' 4""";115 lbs.;"63""";Jan 29, 1994
UFC Fight Night: Munhoz vs. Edgar;Shana Dobson;"5' 6""";125 lbs.;"68""";Apr 07, 1997;Mariya Agapova;"5' 6""";125 lbs.;"69""";Mar 30, 1989
UFC Fight Night: Munhoz vs. Edgar;Daniel Rodriguez;"6' 1""";170 lbs.;"76""";Sep 14, 1984;Dwight Grant;"6' 1""";170 lbs.;"74""";Dec 31, 1986
UFC Fight Night: Munhoz vs. Edgar;Amanda Lemos;"5' 3""";125 lbs.;"65""";Aug 19, 1994;Inoue Mizuki;"5' 4""";115 lbs.;"65""";May 22, 1987
UFC Fight Night: Munhoz vs. Edgar;Jordan Wright;"6' 1""";205 lbs.;"73""";Apr 04, 1984;Ike Villanueva;"6' 2""";185 lbs.;"77""";Oct 07, 1991
UFC Fight Night: Munhoz vs. Edgar;Matthew Semelsberger;"5' 10""";170 lbs.;"75""";Apr 26, 1993;Carlton Minus;"6' 1""";170 lbs.;"75""";Nov 23, 1992
UFC Fight Night: Munhoz vs. Edgar;Timur Valiev;"5' 7""";135 lbs.;"70""";Aug 04, 1990;Trevin Jones;"5' 6""";135 lbs.;"67""";Jan 19, 1990
UFC Fight Night: Waterson vs. Hill;Michelle Waterson;"5' 3""";115 lbs.;"64""";Jan 12, 1985;Angela Hill;"5' 3""";115 lbs.;"62""";Jan 06, 1986
UFC Fight Night: Waterson vs. Hill;Ottman Azaitar;"5' 11""";155 lbs.;"74""";Oct 15, 1986;Khama Worthy;"5' 8""";155 lbs.;"71""";Feb 20, 1990
UFC Fight Night: Waterson vs. Hill;Roxanne Modafferi;"5' 6""";125 lbs.;"69""";Feb 11, 1989;Andrea Lee;"5' 7""";125 lbs.;"69""";Sep 24, 1982
UFC Fight Night: Waterson vs. Hill;Ed Herman;"6' 4""";205 lbs.;"82""";Nov 28, 1988;Mike Rodriguez;"6' 1""";205 lbs.;"77""";Oct 02, 1980
UFC Fight Night: Waterson vs. Hill;Bobby Green;"5' 11""";155 lbs.;"74""";Jul 19, 1983;Alan Patrick;"5' 10""";155 lbs.;"71""";Sep 09, 1986
UFC Fight Night: Waterson vs. Hill;Billy Quarantillo;"5' 11""";155 lbs.;"71""";Apr 20, 1991;Kyle Nelson;"5' 10""";145 lbs.;"70""";Dec 08, 1988
UFC Fight Night: Waterson vs. Hill;Sijara Eubanks;"5' 7""";135 lbs.;"68""";May 11, 1988;Julia Avila;"5' 4""";125 lbs.;"67""";Apr 27, 1985
UFC Fight Night: Waterson vs. Hill;Roosevelt Roberts;"5' 11""";135 lbs.;"73""";Jul 15, 1987;Kevin Croom;"6' 2""";155 lbs.;"73""";Feb 11, 1994
UFC Fight Night: Waterson vs. Hill;Alexandr Romanov;"5' 10""";250 lbs.;"72""";Mar 04, 1986;Roque Martinez;"6' 2""";262 lbs.;"75""";Dec 11, 1990
UFC Fight Night: Waterson vs. Hill;Jalin Turner;"6' 0""";155 lbs.;"73""";Dec 05, 1991;Brok Weaver;"6' 3""";155 lbs.;"77""";May 18, 1995
UFC Fight Night: Waterson vs. Hill;Bryan Barberena;"6' 2""";185 lbs.;"74""";Jan 23, 1990;Anthony Ivy;"6' 0""";170 lbs.;"72""";May 03, 1989
UFC Fight Night: Waterson vs. Hill;Sabina Mazo;"5' 5""";125 lbs.;"64""";Apr 13, 1988;Justine Kish;"5' 7""";125 lbs.;"70""";Mar 25, 1997
UFC 253: Adesanya vs. Costa;Israel Adesanya;"6' 1""";205 lbs.;"72""";Apr 21, 1991;Paulo Costa;"6' 4""";185 lbs.;"80""";Jul 22, 1989
UFC 253: Adesanya vs. Costa;Jan Blachowicz;"6' 4""";205 lbs.;"77""";Dec 26, 1989;Dominick Reyes;"6' 2""";205 lbs.;"78""";Feb 24, 1983
UFC 253: Adesanya vs. Costa;Brandon Royval;"5' 4""";125 lbs.;"69""";Mar 26, 1993;Kai Kara-France;"5' 9""";125 lbs.;"68""";Aug 16, 1992
UFC 253: Adesanya vs. Costa;Ketlen Vieira;"5' 4""";125 lbs.;"67""";Apr 27, 1985;Sijara Eubanks;"5' 8""";135 lbs.;"68""";Aug 26, 1991
UFC 253: Adesanya vs. Costa;Hakeem Dawodu;"5' 8""";145 lbs.;"68""";Jan 15, 1991;Zubaira Tukhugov;"5' 8""";145 lbs.;"73""";Jul 02, 1991
UFC 253: Adesanya vs. Costa;Brad Riddell;"5' 8""";155 lbs.;"73""";Feb 04, 1996;Alex Da Silva;"5' 7""";155 lbs.;"71""";Sep 30, 1991
UFC 253: Adesanya vs. Costa;Jake Matthews;"5' 10""";170 lbs.;"72""";Dec 31, 1981;Diego Sanchez;"5' 11""";170 lbs.;"73""";Aug 19, 1994
UFC 253: Adesanya vs. Costa;Ludovit Klein;"5' 8""";145 lbs.;"72""";Jul 31, 1993;Shane Young;"5' 7""";155 lbs.;"72""";Feb 22, 1995
UFC 253: Adesanya vs. Costa;William Knight;"6' 1""";205 lbs.;"74""";Sep 25, 1995;Aleksa Camur;"5' 10""";205 lbs.;"73""";Apr 03, 1988
UFC 253: Adesanya vs. Costa;Juan Espino;"6' 2""";250 lbs.;"77""";May 17, 1988;Jeff Hughes;"6' 3""";255 lbs.;"80""";Oct 09, 1980
UFC 253: Adesanya vs. Costa;Danilo Marques;"6' 3""";205 lbs.;"78""";May 21, 1995;Khadis Ibragimov;"6' 6""";205 lbs.;"77""";Dec 26, 1985
UFC Fight Night: Covington vs. Woodley;Colby Covington;"5' 9""";170 lbs.;"74""";Apr 07, 1982;Tyron Woodley;"5' 11""";170 lbs.;"72""";Feb 22, 1988
UFC Fight Night: Covington vs. Woodley;Donald Cerrone;"6' 0""";170 lbs.;"76""";Sep 29, 1989;Niko Price;"6' 1""";170 lbs.;"73""";Mar 29, 1983
UFC Fight Night: Covington vs. Woodley;Khamzat Chimaev;"6' 1""";185 lbs.;"77""";Dec 18, 1987;Gerald Meerschaert;"6' 2""";170 lbs.;"75""";May 01, 1994
UFC Fight Night: Covington vs. Woodley;Johnny Walker;"6' 5""";205 lbs.;"79""";Aug 24, 1991;Ryan Spann;"6' 6""";205 lbs.;"82""";Mar 30, 1992
UFC Fight Night: Covington vs. Woodley;Mackenzie Dern;"5' 4""";115 lbs.;"63""";Aug 10, 1985;Randa Markos;"5' 4""";115 lbs.;"63""";Mar 24, 1993
UFC Fight Night: Covington vs. Woodley;Kevin Holland;"6' 0""";205 lbs.;"74""";Dec 30, 1990;Darren Stewart;"6' 3""";185 lbs.;"81""";Nov 05, 1992
UFC Fight Night: Covington vs. Woodley;David Dvorak;"5' 6""";125 lbs.;"69""";Nov 08, 1989;Jordan Espinosa;"5' 5""";125 lbs.;"68""";Jun 05, 1992
UFC Fight Night: Covington vs. Woodley;Damon Jackson;"5' 8""";145 lbs.;"70""";Feb 16, 1991;Mirsad Bektic;"5' 11""";145 lbs.;"71""";Aug 08, 1988
UFC Fight Night: Covington vs. Woodley;Mayra Bueno Silva;"5' 6""";125 lbs.;"69""";Jun 03, 1986;Mara Romero Borella;"5' 6""";135 lbs.;"66""";Aug 22, 1991
UFC Fight Night: Covington vs. Woodley;Jessica-Rose Clark;"5' 4""";135 lbs.;"63""";Jun 01, 1991;Sarah Alpar;"5' 5""";135 lbs.;"64""";Nov 28, 1987
UFC Fight Night: Covington vs. Woodley;Darrick Minner;"5' 6""";145 lbs.;"66""";Oct 15, 1997;TJ Laramie;"5' 7""";145 lbs.;"69""";Apr 28, 1990
UFC Fight Night: Covington vs. Woodley;Randy Costa;"5' 5""";135 lbs.;"67""";Mar 07, 1989;Journey Newson;"5' 9""";135 lbs.;"73""";Jul 06, 1994
UFC Fight Night: Covington vs. Woodley;Andre Ewell;"5' 6""";135 lbs.;"67""";Feb 14, 1989;Irwin Rivera;"5' 8""";145 lbs.;"75""";Jan 21, 1988
UFC Fight Night: Covington vs. Woodley;Tyson Nam;"5' 10""";125 lbs.;"72""";Apr 22, 1995;Jerome Rivera;"5' 7""";125 lbs.;"68""";Oct 06, 1983
UFC Fight Night: Holm vs. Aldana;Holly Holm;"5' 9""";135 lbs.;"68""";Mar 26, 1988;Irene Aldana;"5' 8""";135 lbs.;"69""";Oct 17, 1981
UFC Fight Night: Holm vs. Aldana;Carlos Felipe;"6' 0""";250 lbs.;"74""";Dec 19, 1986;Yorgan De Castro;"6' 0""";245 lbs.;"75""";Jan 12, 1995
UFC Fight Night: Holm vs. Aldana;Germaine de Randamie;"5' 6""";135 lbs.;"69""";Aug 19, 1989;Julianna Pena;"5' 9""";135 lbs.;"71""";Apr 24, 1984
UFC Fight Night: Holm vs. Aldana;Kyler Phillips;"5' 9""";135 lbs.;"71""";Apr 27, 1987;Cameron Else;"5' 8""";135 lbs.;"72""";Jun 12, 1995
UFC Fight Night: Holm vs. Aldana;Dusko Todorovic;"6' 3""";205 lbs.;"79""";May 11, 1986;Dequan Townsend;"6' 1""";185 lbs.;"74""";May 19, 1994
UFC Fight Night: Holm vs. Aldana;Carlos Condit;"5' 11""";170 lbs.;"75""";Dec 12, 1984;Court McGee;"6' 2""";170 lbs.;"75""";Apr 26, 1984
UFC Fight Night: Holm vs. Aldana;Charles Jourdain;"5' 10""";145 lbs.;"73""";May 24, 1994;Josh Culibao;"5' 9""";145 lbs.;"69""";Nov 27, 1995
UFC Fight Night: Holm vs. Aldana;Nassourdine Imavov;"6' 1""";185 lbs.;"75""";Oct 13, 1990;Jordan Williams;"6' 3""";185 lbs.;"75""";Mar 01, 1995
UFC Fight Night: Holm vs. Aldana;Loma Lookboonmee;"5' 3""";115 lbs.;"65""";May 20, 1985;Jinh Yu Frey;"5' 1""";115 lbs.;"61""";Jan 18, 1996
UFC Fight Night: Holm vs. Aldana;Casey Kenney;"5' 5""";135 lbs.;"66""";Dec 14, 1991;Alatengheili;"5' 7""";135 lbs.;"68""";Mar 20, 1991
UFC Fight Night: Holm vs. Aldana;Luigi Vendramini;"6' 0""";155 lbs.;"73""";May 31, 1992;Jessin Ayari;"5' 8""";155 lbs.;"73""";Jan 16, 1996
UFC Fight Night: Ortega vs. The Korean Zombie;Brian Ortega;"5' 7""";145 lbs.;"72""";Mar 17, 1987;Chan Sung Jung;"5' 8""";145 lbs.;"69""";Feb 21, 1991
UFC Fight Night: Ortega vs. The Korean Zombie;Jessica Andrade;"5' 9""";125 lbs.;"68""";Dec 28, 1988;Katlyn Chookagian;"5' 1""";125 lbs.;"62""";Sep 25, 1991
UFC Fight Night: Ortega vs. The Korean Zombie;Jimmy Crute;"6' 3""";205 lbs.;"78""";Feb 10, 1994;Modestas Bukauskas;"6' 2""";205 lbs.;"74""";Mar 04, 1996
UFC Fight Night: Ortega vs. The Korean Zombie;James Krause;"5' 11""";170 lbs.;"71""";Sep 06, 1982;Claudio Silva;"6' 2""";170 lbs.;"73""";Jun 04, 1986
UFC Fight Night: Ortega vs. The Korean Zombie;Jonathan Martinez;"5' 7""";145 lbs.;"70""";Jul 31, 1991;Thomas Almeida;"5' 8""";135 lbs.;"70""";Apr 20, 1994
UFC Fight Night: Ortega vs. The Korean Zombie;Guram Kutateladze;"5' 10""";155 lbs.;"70""";Dec 11, 1990;Mateusz Gamrot;"5' 11""";155 lbs.;"72""";Jan 08, 1992
UFC Fight Night: Ortega vs. The Korean Zombie;Gillian Robertson;"5' 8""";115 lbs.;"67""";Dec 15, 1988;Poliana Botelho;"5' 5""";125 lbs.;"63""";May 17, 1995
UFC Fight Night: Ortega vs. The Korean Zombie;Junyong Park;"5' 11""";185 lbs.;"75""";Jun 09, 1985;John Phillips;"5' 10""";185 lbs.;"73""";Feb 27, 1991
UFC Fight Night: Ortega vs. The Korean Zombie;Fares Ziam;"6' 0""";155 lbs.;"74""";Aug 17, 1994;Jamie Mullarkey;"6' 1""";155 lbs.;"75""";Mar 21, 1997
UFC Fight Night: Ortega vs. The Korean Zombie;Maxim Grishin;"5' 11""";205 lbs.;"70""";Feb 09, 1987;Gadzhimurad Antigulov;"6' 3""";205 lbs.;"78""";May 02, 1984
UFC Fight Night: Ortega vs. The Korean Zombie;Said Nurmagomedov;"5' 8""";145 lbs.;"70""";Jun 23, 1988;Mark Striegl;"5' 8""";135 lbs.;"70""";Apr 05, 1992
UFC Fight Night: Moraes vs. Sandhagen;Cory Sandhagen;"5' 6""";135 lbs.;"67""";Apr 26, 1988;Marlon Moraes;"5' 11""";135 lbs.;"70""";Apr 20, 1992
UFC Fight Night: Moraes vs. Sandhagen;Edson Barboza;"5' 10""";145 lbs.;"72""";Nov 08, 1988;Makwan Amirkhani;"5' 11""";145 lbs.;"75""";Jan 21, 1986
UFC Fight Night: Moraes vs. Sandhagen;Marcin Tybura;"6' 4""";265 lbs.;"78""";Oct 17, 1981;Ben Rothwell;"6' 3""";249 lbs.;"78""";Nov 09, 1985
UFC Fight Night: Moraes vs. Sandhagen;Dricus Du Plessis;"6' 1""";185 lbs.;"73""";Jun 22, 1988;Markus Perez;"6' 1""";185 lbs.;"76""";Jan 14, 1994
UFC Fight Night: Moraes vs. Sandhagen;Tom Aspinall;"6' 3""";243 lbs.;"79""";Feb 01, 1988;Alan Baudot;"6' 5""";256 lbs.;"78""";Apr 11, 1993
UFC Fight Night: Moraes vs. Sandhagen;Ilia Topuria;"5' 10""";145 lbs.;"72""";Sep 04, 1996;Youssef Zalal;"5' 7""";155 lbs.;"69""";Jan 21, 1997
UFC Fight Night: Moraes vs. Sandhagen;Tom Breese;"6' 4""";185 lbs.;"78""";Oct 12, 1991;KB Bhullar;"6' 3""";185 lbs.;"73""";Sep 26, 1991
UFC Fight Night: Moraes vs. Sandhagen;Chris Daukaus;"6' 2""";246 lbs.;"80""";Nov 26, 1992;Rodrigo Nascimento;"6' 3""";250 lbs.;"76""";Sep 25, 1989
UFC Fight Night: Moraes vs. Sandhagen;Joaquin Buckley;"5' 11""";170 lbs.;"75""";Jan 17, 1994;Impa Kasanganay;"5' 10""";185 lbs.;"76""";Apr 27, 1994
UFC Fight Night: Moraes vs. Sandhagen;Tony Kelley;"5' 6""";135 lbs.;"68""";Sep 23, 1990;Ali AlQaisi;"5' 9""";135 lbs.;"70""";Jan 21, 1987
UFC Fight Night: Moraes vs. Sandhagen;Giga Chikadze;"5' 11""";145 lbs.;"73""";Oct 17, 1985;Omar Morales;"6' 0""";145 lbs.;"74""";Aug 25, 1988
UFC Fight Night: Moraes vs. Sandhagen;Tracy Cortez;"5' 6""";135 lbs.;"68""";Aug 12, 1988;Stephanie Egger;"5' 5""";125 lbs.;"65""";Dec 10, 1993
UFC Fight Night: Moraes vs. Sandhagen;Tagir Ulanbekov;"5' 4""";125 lbs.;"65""";Mar 16, 1990;Bruno Silva;"5' 7""";125 lbs.;"70""";Aug 07, 1991
UFC 259: Blachowicz vs. Adesanya;Jan Blachowicz;"6' 4""";185 lbs.;"80""";Jul 22, 1989;Israel Adesanya;"6' 2""";205 lbs.;"78""";Feb 24, 1983
UFC 259: Blachowicz vs. Adesanya;Amanda Nunes;"6' 0""";145 lbs.;"72""";Feb 11, 1990;Megan Anderson;"5' 8""";135 lbs.;"69""";May 30, 1988
UFC 259: Blachowicz vs. Adesanya;Aljamain Sterling;"5' 7""";135 lbs.;"67""";Feb 11, 1993;Petr Yan;"5' 7""";135 lbs.;"71""";Jul 31, 1989
UFC 259: Blachowicz vs. Adesanya;Aljamain Sterling;"5' 7""";135 lbs.;"67""";Feb 11, 1993;Petr Yan;"5' 7""";135 lbs.;"71""";Jul 31, 1989
UFC 259: Blachowicz vs. Adesanya;Islam Makhachev;"5' 8""";155 lbs.;"70""";Oct 19, 1988;Drew Dober;"5' 10""";155 lbs.;"70""";Oct 27, 1991
UFC 259: Blachowicz vs. Adesanya;Aleksandar Rakic;"6' 2""";205 lbs.;"76""";Jan 07, 1984;Thiago Santos;"6' 4""";205 lbs.;"78""";Feb 06, 1992
UFC 259: Blachowicz vs. Adesanya;Dominick Cruz;"5' 7""";135 lbs.;"68""";Mar 20, 1991;Casey Kenney;"5' 8""";135 lbs.;"68""";Mar 09, 1985
UFC 259: Blachowicz vs. Adesanya;Kyler Phillips;"5' 8""";135 lbs.;"67""";Dec 02, 1997;Song Yadong;"5' 8""";135 lbs.;"72""";Jun 12, 1995
UFC 259: Blachowicz vs. Adesanya;Askar Askarov;"5' 4""";125 lbs.;"65""";Jul 31, 1984;Joseph Benavidez;"5' 6""";125 lbs.;"67""";Oct 09, 1992
UFC Fight Night: Edwards vs. Muhammad;Leon Edwards;"5' 11""";170 lbs.;"72""";Jul 09, 1988;Belal Muhammad;"6' 2""";170 lbs.;"74""";Aug 25, 1991
UFC Fight Night: Edwards vs. Muhammad;Ryan Spann;"6' 3""";185 lbs.;"77""";Feb 27, 1987;Misha Cirkunov;"6' 5""";205 lbs.;"79""";Aug 24, 1991
UFC 259: Blachowicz vs. Adesanya;Kai Kara-France;"5' 5""";125 lbs.;"67""";Apr 25, 1992;Rogerio Bontorin;"5' 4""";125 lbs.;"69""";Mar 26, 1993
UFC 259: Blachowicz vs. Adesanya;Tim Elliott;"5' 6""";125 lbs.;"69""";Nov 08, 1989;Jordan Espinosa;"5' 7""";125 lbs.;"66""";Dec 24, 1986
UFC 259: Blachowicz vs. Adesanya;Kennedy Nzechukwu;"6' 4""";205 lbs.;"77""";Nov 07, 1990;Carlos Ulberg;"6' 5""";205 lbs.;"83""";Jun 13, 1992
UFC Fight Night: Edwards vs. Muhammad;Dan Ige;"5' 6""";145 lbs.;"66""";Jun 17, 1986;Gavin Tucker;"5' 7""";145 lbs.;"71""";Aug 06, 1991
UFC Fight Night: Edwards vs. Muhammad;Davey Grant;"5' 8""";135 lbs.;"70""";Apr 20, 1994;Jonathan Martinez;"5' 8""";135 lbs.;"69""";Dec 18, 1985
UFC Fight Night: Edwards vs. Muhammad;Matheus Nicolau;"5' 5""";125 lbs.;"68""";Nov 14, 1993;Manel Kape;"5' 6""";125 lbs.;"66""";Jan 06, 1993
UFC 259: Blachowicz vs. Adesanya;Sean Brady;"5' 11""";170 lbs.;"73""";Aug 19, 1994;Jake Matthews;"5' 10""";170 lbs.;"72""";Nov 23, 1992
UFC 259: Blachowicz vs. Adesanya;Amanda Lemos;"5' 3""";115 lbs.;"63""";Mar 11, 1991;Livinha Souza;"5' 4""";115 lbs.;"65""";May 22, 1987
UFC 259: Blachowicz vs. Adesanya;Uros Medic;"6' 0""";145 lbs.;"78""";Sep 20, 1989;Aalon Cruz;"6' 1""";155 lbs.;"71""";Apr 25, 1993
UFC 259: Blachowicz vs. Adesanya;Trevin Jones;"5' 9""";135 lbs.;"69""";Jul 01, 1993;Mario Bautista;"5' 7""";135 lbs.;"70""";Aug 04, 1990
UFC Fight Night: Edwards vs. Muhammad;Eryk Anders;"6' 0""";205 lbs.;"74""";Dec 30, 1990;Darren Stewart;"6' 1""";185 lbs.;"75""";Apr 21, 1987
